,obsHistID,sessionID,propID,fieldID,fieldRA,fieldDec,filter,expDate,expMJD,night,visitTime,visitExpTime,finRank,FWHMeff,FWHMgeom,transparency,airmass,vSkyBright,filtSkyBrightness,rotSkyPos,rotTelPos,lst,altitude,azimuth,dist2Moon,solarElong,moonRA,moonDec,moonAlt,moonAZ,moonPhase,sunAlt,sunAz,phaseAngle,rScatter,mieScatter,moonIllum,moonBright,darkBright,rawSeeing,wind,humidity,slewDist,slewTime,fiveSigmaDepth,ditheredRA,ditheredDec,count
851062,850948,1016,54,1000,5.718053,-0.674641,r,107332923,60822.279206,1242,34.0,30.0,4.540763,0.998103,0.872441,0.25,1.384013,21.315486,21.035486,2.020569,0.3526,4.796933,0.807468,2.022485,1.965262,108.233102,1.156318,0.463929,-1.128432,1.591728,0.239315,-1.069504,1.758963,174.391958,276667.696623,2162.563687,1.5e-05,0.0,101.452991,0.612654,0.0,0.0,0.048198,4.66406,24.070674,5.730275586988286,-0.664722,237
851095,850981,1016,54,1000,5.718053,-0.674641,r,107334383,60822.296104,1242,34.0,30.0,5.681613,0.955279,0.837239,0.25,1.286467,21.373977,21.093977,2.016053,0.408286,4.9034,0.890402,2.014056,1.970635,108.247947,1.162643,0.465098,-1.042235,1.53967,0.250482,-0.978853,1.682818,174.262503,277545.7374,2124.579503,1.5e-05,0.0,96.132107,0.612654,0.0,0.0,0.054995,4.788626,24.157478,5.730275586988286,-0.664722,238
858232,858118,1016,54,1000,5.718053,-0.674641,i,108113881,60831.318076,1251,34.0,30.0,4.090596,0.846807,0.748075,0.25,1.111877,21.495312,20.135312,1.114667,-0.285173,5.196654,1.118353,2.042494,2.160162,116.01802,3.262937,-0.074551,-0.271645,4.457749,70.912306,-0.873183,1.574339,65.276093,313608.693844,1137.091201,0.005703,0.0,85.967425,0.618018,0.0,0.0,0.109725,9.15258,23.702574,5.70827493040937,-0.6614150000000001,239
858275,858161,1016,54,1000,5.718053,-0.674641,i,108115564,60831.337547,1251,34.0,30.0,6.283795,0.826659,0.731514,0.25,1.068138,21.529689,20.169689,1.000169,-0.270712,5.319327,1.211687,2.099178,2.156205,116.034827,3.267181,-0.076338,-0.368675,4.38677,71.080468,-0.767391,1.515451,65.063765,312772.349787,1152.028839,0.005737,0.0,83.288124,0.618018,0.0,0.0,0.055859,6.172307,23.749127,5.70827493040937,-0.6614150000000001,240
858656,858542,1016,54,1000,5.718053,-0.674641,i,108282475,60833.269395,1253,34.0,30.0,4.525122,0.815633,0.72245,0.625,1.26983,19.807491,19.118516,2.144408,0.549097,4.924353,0.906757,2.013249,1.787944,117.679404,3.629234,-0.256678,0.363252,4.619501,85.87259,-1.138252,1.765559,44.155504,253465.418915,3881.134083,0.00997,311.681168,95.199343,0.51114,0.0,0.0,0.054771,4.796735,23.241404,5.718053000000001,-0.6614150000000001,241
858699,858585,1016,54,1000,5.718053,-0.674641,i,108284252,60833.289957,1253,34.0,30.0,6.667212,0.781478,0.694375,0.625,1.182448,19.95241,19.265519,2.322402,0.810554,5.053899,1.007885,2.016272,1.784555,117.697102,3.632849,-0.258011,0.25592,4.559043,86.007023,-1.027876,1.669567,43.933921,253141.151835,3924.756603,0.010026,265.862794,90.177112,0.51114,0.0,0.0,0.054995,4.73473,23.367965,5.718053000000001,-0.6614150000000001,242
861474,861360,1016,54,1000,5.718053,-0.674641,i,109158497,60843.408537,1263,34.0,30.0,4.513387,0.68883,0.618218,0.0,1.033597,19.698899,18.826759,5.661687,0.414659,5.973028,1.315135,4.032796,0.556271,126.17825,5.947557,-0.157938,1.200106,6.213701,64.643448,-0.401694,1.316418,72.970205,408047.442188,225528.0753,0.004568,368.546557,81.133877,0.470696,0.0,0.0,0.054995,4.89713,23.306076,5.705830413011714,-0.658109,243
863552,863438,1016,54,1000,5.718053,-0.674641,z,109332826,60845.426237,1265,34.0,30.0,4.514316,0.658708,0.593458,0.625,1.06855,17.254495,17.0,4.352413,-0.65819,6.11895,1.21066,4.184907,0.967657,127.83604,0.098555,0.074095,0.918432,0.440891,42.390078,-0.311172,1.270326,98.754351,316540.822064,58067.574119,0.001927,92.045483,83.313643,0.431375,0.0,0.0,0.055859,4.874573,22.268408,5.715608482602343,-0.658109,244
863585,863471,1016,54,1000,5.718053,-0.674641,z,109334208,60845.442224,1265,34.0,30.0,5.803875,0.671534,0.604001,0.625,1.103452,17.253454,17.0,4.209748,-0.692703,6.219673,1.134324,4.233913,0.970389,127.849187,0.100588,0.076002,0.946841,0.282553,42.210044,-0.228872,1.227305,98.963146,315956.575918,57546.59171,0.001911,94.000686,85.455529,0.431375,0.0,0.0,0.055859,4.838715,22.245028,5.715608482602343,-0.658109,245
865914,865800,1016,54,1000,5.718053,-0.674641,u,109665739,60849.279391,1269,34.0,30.0,4.520202,1.068292,0.930136,0.125,1.086527,21.515018,22.175018,2.111119,0.775586,5.262573,1.169013,2.067676,1.874293,130.961652,1.047809,0.445518,-0.630028,1.377383,6.442465,-1.101439,1.703521,150.592635,263293.178601,2919.265607,0.000119,0.0,84.421186,0.69734,0.0,0.0,0.053179,4.858182,23.241334,5.7351646217836,-0.658109,246
