,obsHistID,sessionID,propID,fieldID,fieldRA,fieldDec,filter,expDate,expMJD,night,visitTime,visitExpTime,finRank,FWHMeff,FWHMgeom,transparency,airmass,vSkyBright,filtSkyBrightness,rotSkyPos,rotTelPos,lst,altitude,azimuth,dist2Moon,solarElong,moonRA,moonDec,moonAlt,moonAZ,moonPhase,sunAlt,sunAz,phaseAngle,rScatter,mieScatter,moonIllum,moonBright,darkBright,rawSeeing,wind,humidity,slewDist,slewTime,fiveSigmaDepth,ditheredRA,ditheredDec,count,cmap_visit_value,RA_upper,RA_lower,Dec_upper,Dec_lower
2225458,127633,1016,54,1000,5.718053,-0.674641,g,14965194,59753.208268,173,34.0,30.0,4.534648,1.160634,1.006041,0.25,1.370996,21.322956,21.732956,1.577808,-0.083137,4.809765,0.817444,2.021122,1.253452,130.682324,0.454572,0.14842,-0.382476,1.620863,28.682174,-1.438846,2.679445,115.236557,265138.55345,22623.620359,0.000962,0.0,100.757384,0.70404,0.0,0.0,0.048198,4.6924,24.241311,5.742498,-0.661415,0,0.0,5.748596261909901,5.6875097380901,-0.7051842619099008,-0.6440977380900993
2225459,127670,1016,54,1000,5.718053,-0.674641,g,14966692,59753.225609,173,34.0,30.0,6.563181,1.303756,1.123687,0.25,1.274001,21.381891,21.791891,1.577013,-0.021499,4.91902,0.902585,2.013425,1.257471,130.696484,0.458472,0.150266,-0.292395,1.565339,28.524361,-1.376122,2.187149,115.436644,264595.61803,22325.704195,0.000954,0.0,95.433921,0.859973,0.0,0.0,0.048198,4.965574,24.160844,5.742498,-0.661415,1,0.06908294176858112,5.748596261909901,5.6875097380901,-0.7051842619099008,-0.6440977380900993
2225460,136947,1016,54,1000,5.718053,-0.674641,z,16353504,59769.276675,189,34.0,30.0,4.518763,0.695528,0.623724,0.0,1.025141,20.628852,19.037479,1.309337,0.400184,5.516,1.348874,2.347508,1.617649,142.925846,3.864375,-0.264902,0.064601,4.443167,73.578316,-1.119961,1.766269,61.863982,243334.483068,6805.951436,0.006269,110.348836,80.601314,0.50461,0.0,0.0,0.053179,4.834432,23.21587,5.703386,-0.654803,2,0.10949387214270427,5.748596261909901,5.6875097380901,-0.7051842619099008,-0.6440977380900993
2225461,136993,1016,54,1000,5.718053,-0.674641,z,16355480,59769.299544,189,34.0,30.0,7.951576,0.659361,0.593995,0.0,1.012049,20.812797,19.223263,0.893367,0.559059,5.660088,1.416337,2.840454,1.61247,142.942179,3.87008,-0.266483,-0.048607,4.372316,73.808215,-0.99724,1.662396,61.564816,243229.589456,6923.206091,0.00632,81.418639,79.772684,0.46239,0.0,0.0,0.048077,6.938272,23.36435,5.703386,-0.654803,3,0.13816588353716225,5.748596261909901,5.6875097380901,-0.7051842619099008,-0.6440977380900993
2225462,137990,1016,54,1000,5.718053,-0.674641,y,16439213,59770.268672,190,34.0,30.0,4.450165,0.782293,0.695045,0.0,1.030291,20.084155,17.3,1.83111,0.837478,5.482783,1.327713,2.28205,1.38291,143.618923,4.10871,-0.351456,0.338353,4.493347,83.010265,-1.162021,1.817678,48.684468,250824.336567,14761.407647,0.008886,234.429486,80.925908,0.633086,0.0,0.0,0.085461,5.469654,21.767917,5.708275,-0.654803,4,0.16040562336993605,5.748596261909901,5.6875097380901,-0.7051842619099008,-0.6440977380900993
2225463,141215,1016,54,1000,5.718053,-0.674641,y,16699102,59773.276647,193,34.0,30.0,4.454868,0.752275,0.67037,0.0,1.01707,18.240317,17.3,0.245741,-0.438005,5.58464,1.387332,2.533817,0.656839,145.657502,4.970485,-0.464826,1.029221,4.674976,99.549603,-1.118295,1.787875,7.696212,386503.183598,161863.085112,0.024208,1643.127796,80.091027,0.602145,0.0,0.0,0.087149,5.424064,21.812779,5.722942,-0.654803,5,0.1785768139112854,5.748596261909901,5.6875097380901,-0.7051842619099008,-0.6440977380900993
2225464,141222,1016,54,1000,5.718053,-0.674641,y,16699387,59773.279951,193,34.0,30.0,3.959734,0.733888,0.655256,0.0,1.015315,18.242247,17.3,0.228012,-0.372177,5.605454,1.396894,2.605751,0.656357,145.659719,4.971186,-0.464698,1.011827,4.666265,99.554118,-1.101067,1.770299,7.657481,386609.925989,162120.527443,0.02423,1640.178891,79.979821,0.579008,0.0,0.0,0.054771,10.593024,21.839962,5.722942,-0.654803,6,0.19394033660424506,5.748596261909901,5.6875097380901,-0.7051842619099008,-0.6440977380900993
2225465,141392,1016,54,1000,5.718053,-0.674641,y,16706089,59773.357515,193,34.0,30.0,4.512628,0.704259,0.630901,0.0,1.061365,18.244784,17.3,5.308724,0.266264,6.094136,1.229091,4.167488,0.644303,145.711675,4.989059,-0.461029,0.60835,4.489061,99.650435,-0.681413,1.489944,6.779068,389271.100616,168695.657848,0.024745,1633.274739,82.868385,0.513673,0.0,0.0,0.055859,4.883018,21.876416,5.722942,-0.654803,7,0.2072488253057433,5.748596261909901,5.6875097380901,-0.7051842619099008,-0.6440977380900993
2225466,145484,1016,54,1000,5.718053,-0.674641,y,17047156,59777.305047,197,34.0,30.0,4.011935,1.499563,1.284641,0.125,1.015333,19.159799,17.3,5.548961,-0.133022,5.832378,1.39679,3.678312,0.580456,148.213444,6.057921,-0.180049,1.164506,0.590441,82.22752,-0.9635,1.677102,49.868026,403021.234307,208236.967575,0.008619,658.850372,79.980999,1.456743,0.0,0.0,0.048077,9.988313,21.064121,5.742498,-0.654803,8,0.21898774428540865,5.748596261909901,5.6875097380901,-0.7051842619099008,-0.6440977380900993
2225467,145487,1016,54,1000,5.718053,-0.674641,y,17048203,59777.317169,197,34.0,30.0,4.484441,1.389524,1.194189,0.0,1.023429,19.156914,17.3,5.542883,0.133634,5.908751,1.356415,3.907545,0.582319,148.220908,6.05957,-0.178808,1.194537,0.414114,82.121343,-0.897915,1.631407,50.026976,402629.55119,206961.589682,0.008584,660.303534,80.493215,1.330707,0.0,0.0,0.048077,9.785462,21.145411,5.742498,-0.654803,9,0.22948856513851726,5.748596261909901,5.6875097380901,-0.7051842619099008,-0.6440977380900993
2225468,145520,1016,54,1000,5.718053,-0.674641,y,17049498,59777.332157,197,34.0,30.0,3.747642,1.482353,1.270494,0.0,1.039296,19.149234,17.3,5.429333,0.241774,6.003181,1.294934,4.075297,0.584633,148.230129,6.061588,-0.177251,1.215986,0.166156,81.989783,-0.816823,1.580826,50.223415,402141.984141,205387.724617,0.008541,664.564138,81.491677,1.416015,0.0,0.0,0.087149,13.174001,21.072341,5.742498,-0.654803,10,0.23898771306270872,5.748596261909901,5.6875097380901,-0.7051842619099008,-0.6440977380900993
2225469,145538,1016,54,1000,5.718053,-0.674641,y,17050205,59777.340344,197,34.0,30.0,4.510553,1.477236,1.266288,0.0,1.051037,19.142902,17.3,5.438862,0.340053,6.054766,1.257888,4.133956,0.585905,148.235162,6.062685,-0.176391,1.219245,0.022643,81.917784,-0.771857,1.554777,50.330685,401873.734328,204528.23404,0.008517,668.193686,82.225852,1.400007,0.0,0.0,0.054995,4.892613,21.073982,5.742498,-0.654803,11,0.2476597556798665,5.748596261909901,5.6875097380901,-0.7051842619099008,-0.6440977380900993
